Treatment,Hive,Week,Mites,Bees,Spores,Prevalence,MBBin
C,20,4,0,232,2,1,0
C,25,4,0,247,2,1,0
C,26,4,0,235,2,1,0
C,28,5,0,206,2,1,0
F,16,5,0,239,2,1,0
H,11,5,0,243,2,1,0
C,1,1,0,201,1,1,0
C,21,1,0,218,1,1,0
C,28,1,0,213,1,1,0
H,10,1,0,237,1,1,0
H,11,1,0,213,1,1,0
H,24,1,0,201,1,1,0
H,26,1,0,218,1,1,0
H,30,1,0,141,1,1,0
C,3,2,0,186,1,1,0
C,13,2,0,173,1,1,0
F,18,2,0,139,1,1,0
F,25,2,0,178,1,1,0
F,29,2,0,222,1,1,0
H,2,2,0,182,1,1,0
H,3,2,0,193,1,1,0
H,13,2,0,319,1,1,0
H,17,2,0,177,1,1,0
H,30,2,0,209,1,1,0
C,12,3,0,207,1,1,0
C,20,3,0,264,1,1,0
F,5,3,0,189,1,1,0
F,28,3,0,207,1,1,0
C,23,4,0,265,1,1,0
H,23,5,0,348,1,1,0
H,24,5,0,288,1,1,0
C,12,1,0,197,0,0,0
C,14,1,0,193,0,0,0
C,16,1,0,197,0,0,0
C,22,1,0,224,0,0,0
C,25,1,0,173,0,0,0
C,30,1,0,258,0,0,0
F,4,1,0,224,0,0,0
F,9,1,0,127,0,0,0
F,10,1,0,275,0,0,0
F,11,1,0,228,0,0,0
F,18,1,0,215,0,0,0
F,19,1,0,180,0,0,0
F,20,1,0,185,0,0,0
F,25,1,0,194,0,0,0
F,26,1,0,218,0,0,0
F,28,1,0,209,0,0,0
F,30,1,0,209,0,0,0
H,1,1,0,208,0,0,0
H,2,1,0,219,0,0,0
H,8,1,0,257,0,0,0
H,9,1,0,233,0,0,0
H,14,1,0,240,0,0,0
H,16,1,0,227,0,0,0
H,17,1,0,214,0,0,0
C,9,2,0,218,0,0,0
C,22,2,0,207,0,0,0
F,14,2,0,216,0,0,0
F,15,2,0,213,0,0,0
F,28,2,0,181,0,0,0
H,4,2,0,186,0,0,0
H,8,2,0,191,0,0,0
H,14,2,0,250,0,0,0
H,22,2,0,204,0,0,0
H,26,2,0,246,0,0,0
C,21,3,0,226,0,0,0
F,2,3,0,150,0,0,0
F,3,3,0,186,0,0,0
F,13,3,0,208,0,0,0
F,21,3,0,211,0,0,0
F,26,3,0,241,0,0,0
C,14,4,0,210,0,0,0
C,29,4,0,225,0,0,0
H,26,4,0,240,0,0,0
H,28,4,0,195,0,0,0
C,9,5,0,289,0,0,0
C,26,5,0,223,0,0,0
C,27,5,0,226,0,0,0
C,30,5,0,190,0,0,0
F,14,5,0,227,0,0,0
F,21,5,0,223,0,0,0
F,22,5,0,245,0,0,0
F,30,2,0,216,,,0
F,9,2,1,184,113,1,1
H,29,3,1,219,81,1,1
C,14,3,1,256,60,1,1
H,9,4,1,210,59,1,1
F,4,4,1,223,58,1,1
F,2,4,1,225,47,1,1
F,26,4,1,230,39,1,1
F,17,5,1,196,37,1,1
F,11,4,1,231,30,1,1
C,17,4,1,160,27,1,1
H,28,3,1,244,24,1,1
C,17,3,1,208,20,1,1
H,6,4,1,196,20,1,1
H,10,5,1,258,20,1,1
C,15,1,1,216,15,1,1
C,4,2,1,214,15,1,1
F,5,2,1,190,14,1,1
C,11,3,1,257,13,1,1
C,13,3,1,219,13,1,1
F,8,5,1,255,13,1,1
H,21,5,1,309,13,1,1
F,7,2,1,206,12,1,1
C,2,3,1,259,12,1,1
C,24,1,1,102,11,1,1
C,4,3,1,228,10,1,1
F,24,3,1,221,10,1,1
C,20,1,1,257,9,1,1
F,20,3,1,185,9,1,1
F,12,5,1,235,8,1,1
F,21,1,1,244,7,1,1
F,8,2,1,233,6,1,1
H,10,2,1,251,6,1,1
H,2,5,1,245,6,1,1
C,6,3,1,265,5,1,1
H,24,3,1,226,5,1,1
F,10,5,1,273,5,1,1
H,9,5,1,269,5,1,1
C,9,1,1,229,4,1,1
C,26,1,1,241,4,1,1
F,14,1,1,186,4,1,1
C,14,2,1,228,4,1,1
C,19,3,1,257,4,1,1
C,29,5,1,196,4,1,1
C,8,1,1,219,3,1,1
F,3,1,1,244,3,1,1
C,7,3,1,254,3,1,1
C,23,3,1,268,3,1,1
F,8,3,1,228,3,1,1
F,23,3,1,212,3,1,1
C,14,5,1,241,3,1,1
H,17,5,1,346,3,1,1
C,12,2,1,284,2,1,1
F,21,2,1,196,2,1,1
H,16,2,1,275,2,1,1
F,22,3,1,221,2,1,1
F,25,5,1,343,2,1,1
H,21,1,1,228,1,1,1
F,13,2,1,191,1,1,1
H,5,2,1,172,1,1,1
H,20,2,1,241,1,1,1
H,24,2,1,232,1,1,1
C,3,4,1,209,1,1,1
C,21,5,1,218,1,1,1
C,23,5,1,201,1,1,1
H,19,5,1,317,1,1,1
H,29,5,1,237,1,1,1
C,4,1,1,171,0,0,1
C,27,1,1,248,0,0,1
