Treatment,Colony,Time,Spores,SporesRaw,Prev
Control,10,3,0,0,0
Nozevit2,13,3,200000,4,1
Control,14,3,700000,14,1
Nozevit4,16,3,50000,1,1
Fumigilin2,17,3,1000000,20,1
Fumigilin2,18,3,50000,1,1
Fumigilin2,19,3,750000,15,1
Control,20,3,100000,2,1
Control,21,3,150000,3,1
Fumigilin2,23,3,350000,7,1
Nozevit4,24,3,,,
Control,25,3,750000,15,1
Fumigilin2,26,3,,,
Nozevit2,28,3,1000000,20,1
Fumigilin2,29,3,1100000,22,1
Nozevit4,30,3,700000,14,1
Fumigilin4,31,3,450000,9,1
Fumigilin4,33,3,,,
Nozevit2,35,3,800000,16,1
Nozevit4,36,3,0,0,0
Control,37,3,0,0,0
Fumigilin2,38,3,150000,3,1
Fumigilin2,39,3,100000,2,1
Fumigilin4,40,3,300000,6,1
Nozevit2,41,3,0,0,0
Nozevit2,42,3,1400000,28,1
Fumigilin4,43,3,,,
Nozevit2,45,3,0,0,0
Nozevit4,46,3,,,
Nozevit2,47,3,50000,1,1
Fumigilin2,48,3,700000,14,1
Fumigilin4,49,3,50000,1,1
Nozevit4,50,3,300000,6,1
Nozevit4,51,3,250000,5,1
Fumigilin4,52,3,0,0,0
Nozevit4,53,3,100000,2,1
Nozevit2,54,3,1250000,25,1
Control,55,3,950000,19,1
Nozevit4,56,3,700000,14,1
Fumigilin4,57,3,900000,18,1
Nozevit4,58,3,1600000,32,1
Fumigilin4,59,3,3550000,71,1
Fumigilin2,60,3,0,0,0
