Hive,Time,Treatment,SporesRaw,DeepBees,DeepBrood,MediumBees,MediumBrood,Bees,Brood,Spores0,Spores1,Spores2,Spores4,Bees4,Brood4,Prev
50,1,N2,16,,,,,,,,,,,,,1
1,2,control,0,,,,,,,,,,,,,0
2,2,control,12,,,,,,,,,,,,,1
3,2,control,9,,,,,,,,,,,,,1
4,2,control,0,,,,,,,,,,,,,0
5,2,control,13,,,,,,,,,,,,,1
6,2,control,4,,,,,,,,,,,,,1
7,2,control,27,,,,,,,,,,,,,1
8,2,control,6,,,,,,,,,,,,,1
9,2,control,8,,,,,,,,,,,,,1
10,2,control,9,,,,,,,,,,,,,1
11,2,F1,1,,,,,,,,,,,,,1
12,2,F1,11,,,,,,,,,,,,,1
13,2,F1,1,,,,,,,,,,,,,1
14,2,F1,0,,,,,,,,,,,,,0
15,2,F1,0,,,,,,,,,,,,,0
16,2,F1,19,,,,,,,,,,,,,1
17,2,F1,155,,,,,,,,,,,,,1
18,2,F1,0,,,,,,,,,,,,,0
19,2,F1,3,,,,,,,,,,,,,1
20,2,F1,25,,,,,,,,,,,,,1
21,2,N1,2,,,,,,,,,,,,,1
22,2,N1,0,,,,,,,,,,,,,0
23,2,N1,7,,,,,,,,,,,,,1
24,2,N1,0,,,,,,,,,,,,,0
25,2,N1,0,,,,,,,,,,,,,0
26,2,N1,3,,,,,,,,,,,,,1
27,2,N1,1,,,,,,,,,,,,,1
28,2,N1,31,,,,,,,,,,,,,1
29,2,N1,5,,,,,,,,,,,,,1
30,2,N1,0,,,,,,,,,,,,,0
31,2,F2,2,,,,,,,,,,,,,1
32,2,F2,5,,,,,,,,,,,,,1
33,2,F2,0,,,,,,,,,,,,,0
34,2,F2,0,,,,,,,,,,,,,0
35,2,F2,0,,,,,,,,,,,,,0
36,2,F2,6,,,,,,,,,,,,,1
37,2,F2,0,,,,,,,,,,,,,0
38,2,F2,0,,,,,,,,,,,,,0
39,2,F2,0,,,,,,,,,,,,,0
40,2,F2,2,,,,,,,,,,,,,1
41,2,N2,0,,,,,,,,,,,,,0
42,2,N2,0,,,,,,,,,,,,,0
43,2,N2,4,,,,,,,,,,,,,1
44,2,N2,0,,,,,,,,,,,,,0
45,2,N2,11,,,,,,,,,,,,,1
46,2,N2,13,,,,,,,,,,,,,1
47,2,N2,2,,,,,,,,,,,,,1
48,2,N2,10,,,,,,,,,,,,,1
49,2,N2,4,,,,,,,,,,,,,1
50,2,N2,0,,,,,,,,,,,,,0
1,4,control,1,136,69,86,26,96.81,43.21,,,,,,,1
2,4,control,15,83,48,71,19,65.285,30.365,,,,,,,1
3,4,control,13,86,47,78,3,69.13,24.505,,,,,,,1
4,4,control,1,41,24,45,15,35.575,17.025,,,,,,,1
5,4,control,4,94,54,77,16,72.795,32.36,,,,,,,1
6,4,control,1,91,50,57,19,64.595,31.365,,,,,,,1
7,4,control,27,66,31,69,25,56.115,23.875,,,,,,,1
8,4,control,0,100,58,124,65,91.54,50.775,,,,,,,0
9,4,control,9,110,66,96,16,87.16,38.36,,,,,,,1
10,4,control,26,48,32,87,14,53.145,20.69,,,,,,,1
11,4,F1,3,64,39,58,16,51.43,24.86,,,,,,,1
12,4,F1,5,50,18,64,41,46.44,22.735,,,,,,,1
13,4,F1,17,88,41,91,21,74.485,27.535,,,,,,,1
14,4,F1,18,88,54,100,25,77.5,35.375,,,,,,,1
15,4,F1,2,65,23,99,49,65.665,27.915,,,,,,,1
16,4,F1,47,20,4,71,21,33.785,9.035,,,,,,,1
17,4,F1,,,,,,,,,,,,,,
18,4,F1,7,80,58,72,20,64.12,35.7,,,,,,,1
19,4,F1,19,117,57,100,22,92,35.87,,,,,,,1
20,4,F1,,,,,,,,,,,,,,
