Treatment,Longevity,Censor
Control,24,0
Control,24,0
Control,24,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,26,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,0
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
